Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
Pos Model Codename "L2 Cache + L3 Cache" "TDP Watt" "MHz - Turbo" "Cores / Threads" "Perf. Rating" "Cinebench R15 CPU Single 64Bit" "Cinebench R15 CPU Multi 64Bit" "Cinebench R23 Single Core" "Cinebench R23 Multi Core" x265 Blender(-) "7-Zip Single" 7-Zip "Geekbench 5.5 Single-Core" "Geekbench 5.5 Multi-Core" "WebXPRT 3"
22 "AMD Ryzen 9 5950X" "Vermeer (Zen 3)" 8MB + 64MB 105 3400 ‑ 4900 16/32 60.5 266.5n2 4324n2 1614n2 26017n2 30.85n2 117.65n2 6851.5n2 122978n2 1651.5n2 16248n2 289.5n2
23 "Intel Core i5-13600K" "Raptor Lake" 20MB + 24MB 125 3500 ‑ 5100 14/20 61.3 287.5n2 3642n2 2000.5n2 24221n2 27.55n2 135n2 6377.5n2 89587n2 1973n2 16670.5n2 331n2
24* "Intel Core i7-13850HX" "Raptor Lake-HX" 24MB + 30MB 55 1500 ‑ 5300 20/28            
25 "AMD Ryzen 7 7800X3D" "Raphael (Zen4)" 1KB + 96MB 162 4200 ‑ 5000 8/16 59.2 281.5n2 2878.5n2 1766.5n2 17387n2 23.25n2 178n2 7823.5n2 80312.5n2 1920n3 12715n3 353
26 "Intel Core i9-12900" "Alder Lake" 14MB + 20MB 65 2400 ‑ 5100 16/24 50.9 262 3299 1825 18628 14.4 262.7 5979 50152 1656 8924 269
27 "Intel Core i7-13700" "Raptor Lake-S" 24MB + 30MB 65 2100 ‑ 5200 16/24 62.1 285n2 3692n2 2008.5n2 25369n2 27.25n2 144.5n2 6642.5n2 91604n2 1983.5n2 17563.5n2 338n2
28 "Intel Core i9-12950HX" "Alder Lake-HX" 14MB + 30MB 55 1700 ‑ 5000 16/24 57.2 274n7 3107n7 1885n7 20263n7 22.5n7 175n7 6197n7 77003n7 1886n7 15229n7 311n5
29 "Intel Core i9-12900HX" "Alder Lake-HX" 14MB + 30MB 55 1700 ‑ 5000 16/24 59.5 278n8 3566n8 1912.5n8 23150n8 26n7 148.6n8 6336n7 86541n7 1906.5n8 16311.5n8 317.5n6
30* "Apple M3 Max 16-Core"   78 2748 ‑ 4056 16/16 ~66.773% 271n2 3264n3 1959n2 24022n2  216n2   2324.5n2 22937.5n2 421n2
31 "AMD Ryzen 9 3950X" "Matisse (Zen 2)" 8MB + 64MB 105 3500 ‑ 4700 16/32 ~51.582% 209 4002   15.8 125.8 5340 99467 1306 12363 239
